timestep,demand_el_reference_gas_szenario,demand_el_rapeseedoil_scenario,demand_heat_gascooker_reference,demand_heat_gasdeepfryer,demand_heat_gascooker_gasscenario,demand_heat_wws,r_wood_ofen_kitchen,r_wood_ofen_diningarea,demand_heat_wws_without_demand_heat_space_ofen_diningarea,demand_heat_space_ofen_diningarea,pv_G1_south_utilization rate_normalised,pv_G1_south_normalised,pv_G1_east_normalised,pv_G1_north_normalised,pv_G2_north_normalised,pv_G3_north_normalised,pv_G3_west_normalised,wind_bornay_1kW_20m,wind_10kW_20m_normalised
1600,2.16329137596138,18.3575519611399,0.0809216609240922,11.7,0.161843321848184,10.3739146800911,27.7777777777778,0,10.3739146800911,0,0.103960334388498,0.2178125,0,0.00818539898132428,0.133934210526316,0.268728070175439,0.37375,0.122950707469895,0.100492982398872
1601,1.95144884796996,18.0803181919977,0.0629390696076272,11.7,0.125878139215254,10.6438637498102,27.7777777777778,0,10.6438637498102,0,0.0347799997008606,0.0728693181818182,0,0.00141808149405773,0.0969780701754386,0.13581798245614,0.251995614035088,0.0970764769687529,0.0793448438981459
1602,1.63368505598284,1.7644675382844,0.0359651826329297,0,0.0719303652658594,11.0115247000679,27.7777777777778,0,11.0115247000679,0,0,0,0,0.000889643463497453,0.000672171052631579,0.000745219298245614,0.000670767543859649,0.105119675133891,0.0859189010001582
1603,1.21,1.21,0,0,0,11.1272018518519,0,0,11.1272018518519,0,0,0,0,0,0,0,0,0.10551338137401,0.086240694303123
1604,1.21,1.21,0,0,0,11.4711648148148,0,0,11.4711648148148,0,0,0,0,0,0,0,0,0.101620298706324,0.0830587078302353
1605,1.21,1.21,0,0,0,11.8151277777778,0,0,11.8151277777778,0,0,0,0,0,0,0,0,0.114009893581263,0.0931852647677079
1606,1.21,1.21,0,0,0,12.1590907407407,0,0,12.1590907407407,0,0,0,0,0,0,0,0,0.118211317341344,0.09661927188048
1607,1.21,1.21,0,0,0,12.5030537037037,0,0,12.5030537037037,0,0,0,0,0,0,0,0,0.123387735642665,0.100850184609236
1608,1.21,1.21,0,0,0,12.8470166666667,0,0,12.8470166666667,0,0,0,0,0,0,0,0,0.143174669117625,0.11702290942185
1609,1.21,1.21,0,0,0,12.7954222222222,0,0,12.7954222222222,0,0,0,0,0,0,0,0,0.129615296881184,0.105940242363345
1610,1.21,1.21,0,0,0,12.7839567901235,0,0,12.7839567901235,0,0,0,0,0,0,0,0,0.0944895514263831,0.0772304366828786
1611,1.21,1.21,0,0,0,12.7782240740741,0,0,12.7782240740741,0,0,0,0,0,0,0,0,0.0839227510360263,0.0685937292779983
1612,1.21,1.21,0,0,0,12.7954222222222,0,0,12.7954222222222,0,0,0,0,0,0,0,0,0.0751135645649717,0.0613935964833103
1613,1.21,1.21,0,0,0,12.8126203703704,0,0,12.8126203703704,0,0,0,0,0,0,0,0,0.0591200610043065,0.048321407596461
1614,1.21,1.21,0,0,0,12.8355512345679,0,0,12.8355512345679,0,0,0,0,0,0,0,0,0.0469399182346618,0
1615,1.21,1.21,0,0,0,12.8412839506173,0,0,12.8412839506173,0,0,0,0,0,0,0,0,0.0483317869331825,0
1616,1.21,1.21,0,0,0,12.1418925925926,0,0,12.1418925925926,0,0.109126486390848,0.228636363636364,0.472061403508772,0.00274210526315789,0.00146717105263158,0.00162833333333333,0.00147199561403509,0.0559629983932156,0.0457410024573837
1617,1.21,1.21,0,0,0,11.339312345679,0,0,11.339312345679,0,0.232422602289455,0.486960227272727,0.61530701754386,0.0032660441426146,0.00112478070175439,0.00123164473684211,0.0011277850877193,0.0626718079980463,0.0512244055171076
1618,1.21,1.21,0,0,0,10.559662962963,27.7777777777778,12.987012987013,0.559662962962964,10,0.327460815896992,0.686079545454545,0.663377192982456,0.0421986417657046,0.00123798245614035,0.00140271929824561,0.00120708333333333,0.056481171028694,0.0461645275806487
1619,5.57925213982302,23.0466510934021,0.431034712234237,11.7,0.862069424468475,12.6019589783851,27.7777777777778,12.987012987013,2.73595465739741,9.86600432098765,0.390030916723355,0.817173295454546,0.642543859649123,0.0842461799660441,0.00153361842105263,0.00164013157894737,0.00139701754385965,0.0359790331852948,0
1620,8.85619124469029,27.4991394134536,0.754310746409914,11.7,1.50862149281983,14.1035842306924,27.7777777777778,12.987012987013,4.78792065044548,9.31566358024691,0.402153068665877,0.842571022727273,0.561271929824562,0.113073005093379,0.0018031798245614,0.00177708333333333,0.233486842105263,0,0
1621,11.0408173146018,30.4674649601546,0.96982810252703,11.7,1.93965620505406,15.0760041519837,27.7777777777778,12.987012987013,6.15589797914419,8.92010617283951,0.36896630481876,0.773039772727273,0.429964912280702,0.112572156196944,0.00145236842105263,0.00181741228070175,0.462214912280702,0.0829116444914782,0.0677673077447221
1622,12.1331303495575,31.9516277335051,1.07758678058559,11.7,2.15517356117118,15.5364168904071,27.7777777777778,0,15.5364168904071,0,0.310457260487682,0.650454545454546,0.257657894736842,0.0869015280135823,0.00117719298245614,0.305723684210526,0.494254385964912,0.368216096845027,0.300959095727767
1623,12.1331303495575,31.9516277335051,1.07758678058559,11.7,2.15517356117118,15.4962878780614,27.7777777777778,0,15.4962878780614,0,0.239181990145548,0.501122159090909,0.0302368421052632,0.044581494057725,0.000870350877192983,0.347894736842105,0.462456140350877,0.277191677280017,0.226560862635421
1624,11.0408173146018,30.4674649601546,0.969828102527035,11.7,1.93965620505407,14.9957461272923,27.7777777777778,0,14.9957461272923,0,0.105465433790758,0.220965909090909,0,0.00926315789473684,0.138054824561404,0.276885964912281,0.38280701754386,0.220091356702003,0.179890277090223
1625,8.85619124469027,27.4991394134536,0.754310746409914,11.7,1.50862149281983,14.0691879343961,27.7777777777778,0,14.0691879343961,0,0.0318925139557151,0.0668196022727273,0,0.00149456706281834,0.105912280701754,0.142267543859649,0.260394736842105,0.26462761152957,0.216291703032357
1626,5.57925213982303,7.14665109340206,0.431034712234236,0,0.862069424468472,12.6478207067801,27.7777777777778,0,12.6478207067801,0,0,0,0,0.00109414261460102,0.000824978070175439,0.000916118421052632,0.000821951754385965,0.151546356073477,0.123865454757421
1627,1.21,1.21,0,0,0,10.1583728395062,0,0,10.1583728395062,0,0,0,0,0,0,0,0,0.0726272517821309,0.059361424470105
1628,1.21,1.21,0,0,0,10.410612345679,0,0,10.410612345679,0,0,0,0,0,0,0,0,0.115678304773648,0.0945489300937612
1629,1.21,1.21,0,0,0,10.6571191358025,0,0,10.6571191358025,0,0,0,0,0,0,0,0,0.138397272242174,0.113118134329485
1630,1.21,1.21,0,0,0,10.9036259259259,0,0,10.9036259259259,0,0,0,0,0,0,0,0,0.181420400487139,0.148282815838327
1631,1.21,1.21,0,0,0,11.1558654320988,0,0,11.1558654320988,0,0,0,0,0,0,0,0,0.394198558817107,0.322195696536094
1632,1.21,1.21,0,0,0,11.4023722222222,0,0,11.4023722222222,0,0,0,0,0,0,0,0,0.537879551799918,0.43963244656382
1633,1.21,1.21,0,0,0,11.4425012345679,0,0,11.4425012345679,0,0,0,0,0,0,0,0,0.512598853295237,0.418969427682988
1634,1.21,1.21,0,0,0,11.488362962963,0,0,11.488362962963,0,0,0,0,0,0,0,0,0.416433607793995,0.340369373056171
1635,1.21,1.21,0,0,0,11.534224691358,0,0,11.534224691358,0,0,0,0,0,0,0,0,0.305097731528171,0.249369699413106
1636,1.21,1.21,0,0,0,11.5571555555556,0,0,11.5571555555556,0,0,0,0,0,0,0,0,0.216252641233928,0.176752727303761
1637,1.21,1.21,0,0,0,11.5800864197531,0,0,11.5800864197531,0,0,0,0,0,0,0,0,0.129163676044545,0.105571112931549
1638,1.21,1.21,0,0,0,11.5972845679012,0,0,11.5972845679012,0,0,0,0,0,0,0,0,0.105119675133891,0.0859189010001582
